Barcode|DateTime
230210V017030T|20230228001804
230210V017040T|20230228001807
230210V017050T|20230228001810
230210V017060T|20230228001815
230210V017070T|20230228001819
230210V017080T|20230228001823
230210V017090T|20230228001826
230210V017100T|20230228001829
230210V016910T|20230228001858
230210V016920T|20230228001901
230210V016930T|20230228001904
230210V016940T|20230228001907
230210V016950T|20230228001910
230210V016960T|20230228001913
230210V016970T|20230228001915
230210V016980T|20230228001918
230210V016990T|20230228001921
230210V017000T|20230228001925
230210V016900T|20230228001943
230210V016890T|20230228001945
230210V016880T|20230228001948
230210V016870T|20230228001951
230210V016860T|20230228001955
230210V016850T|20230228001958
230210V016840T|20230228002001
230210V016830T|20230228002004
230210V016820T|20230228002034
230210V016810T|20230228002036
230210V017400T|20230228002055
230210V017390T|20230228002059
230210V017380T|20230228002102
230210V017370T|20230228002104
230210V017360T|20230228002106
230210V017350T|20230228002108
230210V017340T|20230228002111
230210V017330T|20230228002113
230210V017320T|20230228002115
230210V017310T|20230228002117
230210V017500T|20230228002122
230210V017490T|20230228002123
230210V017480T|20230228002125
230210V017470T|20230228002128
230210V017460T|20230228002130
230210V017450T|20230228002132
230210V017440T|20230228002138
230210V017430T|20230228002140
230210V017420T|20230228002143
230210V017410T|20230228002145
230210V017510T|20230228002147
230210V017520T|20230228002148
230210V017530T|20230228002151
230210V017540T|20230228002153
230210V017550T|20230228002155
230210V017560T|20230228002157
230210V017570T|20230228002159
230210V017580T|20230228002202
230210V017590T|20230228002204
230210V017600T|20230228002205
230210V017700T|20230228002218
230210V017690T|20230228002220
230210V017680T|20230228002223
230210V017670T|20230228002236
230210V017660T|20230228002238
230210V017650T|20230228002239
230210V017640T|20230228002241
230210V017630T|20230228002242
230210V017620T|20230228002245
230210V017610T|20230228002249
230210V017800T|20230228002252
230210V017790T|20230228002256
230210V017780T|20230228002258
230210V017770T|20230228002301
230210V017760T|20230228002303
230210V017750T|20230228002306
230210V017740T|20230228002308
230210V017730T|20230228002311
230210V017720T|20230228002313
230210V017710T|20230228002319
230210V017810T|20230228002322
230210V017820T|20230228002326
230210V017830T|20230228002330
230210V017840T|20230228002334
230210V017850T|20230228002337
230210V017860T|20230228002338
230210V017870T|20230228002346
230210V017880T|20230228002348
230210V017890T|20230228002354
230210V017900T|20230228002358
230210V018410T|20230228010745
230210V018420T|20230228010748
230210V018430T|20230228010751
230210V018440T|20230228010753
230210V018450T|20230228010756
230210V018460T|20230228010759
230210V018470T|20230228010803
230210V018480T|20230228010805
230210V018310T|20230228010812
230210V018320T|20230228010814
230210V018330T|20230228010817
230210V018340T|20230228010820
230210V018350T|20230228010824
230210V018360T|20230228010827
230210V018370T|20230228010829
230210V018380T|20230228010832
230210V018390T|20230228010835
230210V018400T|20230228010838
230210V018210T|20230228010843
230210V018220T|20230228010846
230210V018230T|20230228010849
230210V018240T|20230228010855
230210V018250T|20230228010900
230210V018260T|20230228010909
230210V018270T|20230228010913
230210V018280T|20230228010916
230210V018290T|20230228010919
230210V018300T|20230228010922
230210V018110T|20230228010932
230210V018120T|20230228010937
230210V018130T|20230228010938
230210V018140T|20230228010941
230210V018150T|20230228010945
230210V018160T|20230228010948
230210V018170T|20230228010952
230210V018180T|20230228010956
230210V018190T|20230228010959
230210V018200T|20230228011001
230210V018010T|20230228011004
230210V018020T|20230228011008
230210V018030T|20230228011011
230210V018040T|20230228011013
230210V018050T|20230228011016
230210V018060T|20230228011019
230210V018070T|20230228011023
230210V018080T|20230228011026
230210V018090T|20230228011029
230210V018100T|20230228011032
230210V018000T|20230228011036
230210V017990T|20230228011040
230210V017980T|20230228011043
230210V017970T|20230228011046
230210V017960T|20230228011050
230210V017950T|20230228011054
230210V017940T|20230228011056
230210V017930T|20230228011100
230210V017920T|20230228011102
230210V017910T|20230228011106
230210V019050T|20230228020823
230210V019060T|20230228020846
230210V019070T|20230228020851
230210V019080T|20230228020857
230210V019090T|20230228020901
230210V019100T|20230228020904
230210V018490T|20230228020915
230210V018500T|20230228020918
230210V018600T|20230228020942
230210V018590T|20230228020948
230210V018530T|20230228020959
230210V018570T|20230228021005
230210V018560T|20230228021006
230210V018550T|20230228021009
230210V018540T|20230228021011
230210V018520T|20230228021024
230210V018510T|20230228021029
230210V018700T|20230228021037
230210V018690T|20230228021048
230210V018680T|20230228021053
230210V018670T|20230228021056
230210V018660T|20230228021101
230210V018650T|20230228021106
230210V018640T|20230228021110
230210V018630T|20230228021112
230210V018620T|20230228021117
230210V018610T|20230228021120
230210V018800T|20230228021131
230210V018790T|20230228021134
230210V018780T|20230228021137
230210V018770T|20230228021152
230210V018760T|20230228021200
230210V018750T|20230228021202
230210V018740T|20230228021210
230210V018730T|20230228021215
230210V018720T|20230228021219
230210V018710T|20230228021223
230210V018810T|20230228021334
230210V018820T|20230228021339
230210V018830T|20230228021344
230210V018840T|20230228021347
230210V018850T|20230228021350
230210V018860T|20230228021354
230210V018870T|20230228021410
230210V018880T|20230228021414
230210V018890T|20230228021418
230210V018900T|20230228021426
230210V019000T|20230228021436
230210V018990T|20230228021441
230210V018980T|20230228021445
230210V018970T|20230228021500
230210V018910T|20230228021505
230210V018950T|20230228021510
230210V018940T|20230228021514
230210V018930T|20230228021517
230210V018920T|20230228021521
230210V018960T|20230228021658
230210V019040T|20230228022807
230210V019550T|20230228031245
230210V019540T|20230228031250
230210V019530T|20230228031254
230210V019520T|20230228031258
230210V019510T|20230228031304
230210V019500T|20230228031313
230210V019480T|20230228031434
230210V019470T|20230228031438
230210V019460T|20230228031444
230210V019450T|20230228031448
230210V019440T|20230228031452
230210V019430T|20230228031456
230210V019420T|20230228031500
230210V019410T|20230228031511
230210V019400T|20230228031517
230210V019390T|20230228031520
230210V019380T|20230228031524
230210V019310T|20230228031528
230210V019360T|20230228031531
230210V019350T|20230228031547
230210V019340T|20230228031552
230210V019330T|20230228031557
230210V019320T|20230228031601
230210V019250T|20230228031634
230210V019290T|20230228031638
230210V019280T|20230228031642
230210V019270T|20230228031650
230210V019260T|20230228031703
230210V019240T|20230228031800
230210V019230T|20230228031805
230210V019220T|20230228031809
